DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100
2022-05-09,10115.59,0.0,10115.59,101.1559,101.1065,100.5713
2022-05-10,10115.59,0.0,10115.59,101.1559,101.1065,101.069
2022-05-11,10115.59,0.0,10115.59,101.1559,101.1065,101.5284
2022-05-12,10115.59,0.0,10115.59,101.1559,101.1065,101.0563
2022-05-13,10115.59,0.0,10115.59,101.1559,101.1065,104.1062
2022-05-16,10115.59,0.0,10115.59,101.1559,101.1065,104.2751
2022-05-17,10115.59,0.0,10115.59,101.1559,101.1065,106.38
2022-05-18,10115.59,0.0,10115.59,101.1559,101.1065,105.5744
2022-05-19,10115.59,0.0,10115.59,101.1559,101.1065,104.1712
2022-05-20,10115.59,0.0,10115.59,101.1559,101.1065,104.509
2022-05-23,10115.59,0.0,10115.59,101.1559,101.1065,106.1591
2022-05-24,10115.59,0.0,10115.59,101.1559,101.1065,104.9767
2022-05-25,10115.59,0.0,10115.59,101.1559,101.1065,105.1197
2022-05-26,10115.59,0.0,10115.59,101.1559,101.1065,105.7953
2022-05-27,10115.59,0.0,10115.59,101.1559,101.1065,108.1081
2022-05-30,10115.59,0.0,10115.59,101.1559,101.1065,107.7183
2022-05-31,10115.59,0.0,10115.59,101.1559,101.1065,106.2761
2022-06-01,10115.59,0.0,10115.59,101.1559,101.1065,104.2491
2022-06-02,10115.59,0.0,10115.59,101.1559,101.1065,105.8343
2022-06-03,10115.59,0.0,10115.59,101.1559,101.1065,105.6004
2022-06-06,10115.59,0.0,10115.59,101.1559,101.1065,106.4359
2022-06-07,10115.59,0.0,10115.59,101.1559,101.1065,105.6498
2022-06-08,10115.59,0.0,10115.59,101.1559,101.1065,103.5345
2022-06-09,10115.59,0.0,10115.59,101.1559,101.1065,101.8766
2022-06-10,10115.59,0.0,10115.59,101.1559,101.1065,99.9042
2022-06-13,10115.59,0.0,10115.59,101.1559,101.1065,99.3039
