DATE,ESPECES,TITRES,TOTAL,BASE100,APPARIEE100,DETENTION100,PART_INVESTIE,LIGNES_OUVERTES
2022-07-22,8141.67,1931.62,10073.29,100.7329,97.861,91.0455,19.1756,1
2022-07-25,10068.76,0.0,10068.76,100.6876,97.8964,91.2172,0.0,0
2022-07-26,10068.76,0.0,10068.76,100.6876,97.8964,90.7474,0.0,0
2022-07-27,10068.76,0.0,10068.76,100.6876,97.8964,91.7605,0.0,0
2022-07-28,10068.76,0.0,10068.76,100.6876,97.8964,91.0964,0.0,0
2022-07-29,10068.76,0.0,10068.76,100.6876,97.8964,93.0334,0.0,0
2022-08-01,9080.29,1001.58,10081.86,100.8186,97.8964,92.9075,9.9345,1
2022-08-02,9080.29,994.94,10075.22,100.7522,97.8443,92.4098,9.8751,1
2022-08-03,9080.29,1005.09,10085.38,100.8538,97.9201,93.1351,9.9659,1
2022-08-04,9080.29,1020.33,10100.61,101.0061,97.9615,93.5302,10.1017,1
2022-08-05,9080.29,1025.02,10105.3,101.053,97.9186,93.1248,10.1434,1
2022-08-08,9080.29,1041.42,10121.71,101.2171,98.0305,94.1738,10.289,1
2022-08-09,9080.29,1031.27,10111.55,101.1155,98.0442,94.3015,10.1989,1
2022-08-10,9080.29,1044.55,10124.83,101.2483,98.1435,95.2378,10.3167,1
2022-08-11,9080.29,1032.83,10113.12,101.1312,98.1975,95.7457,10.2128,1
2022-08-12,9080.29,1044.55,10124.83,101.2483,98.2036,95.8042,10.3167,1
2022-08-15,9080.29,1049.24,10129.52,101.2952,98.2124,95.8874,10.3582,1
2022-08-16,9080.29,1051.19,10131.47,101.3147,98.2802,96.5264,10.3755,1
2022-08-17,9080.29,1023.45,10103.74,101.0374,98.1643,95.4297,10.1295,1
2022-08-18,9080.29,1018.77,10099.05,100.9905,98.1873,95.6502,10.0877,1
2022-08-19,9080.29,990.64,10070.93,100.7093,98.1045,94.851,9.8366,1
2022-08-22,9080.29,965.64,10045.93,100.4593,97.9326,93.1608,9.6123,1
2022-08-23,9080.29,967.2,10047.49,100.4749,97.9566,93.3983,9.6263,1
2022-08-24,9080.29,963.3,10043.58,100.4358,97.9461,93.2947,9.5912,1
2022-08-25,9080.29,969.16,10049.44,100.4944,97.9607,93.4398,9.6439,1
2022-08-26,9080.29,940.25,10020.54,100.2054,97.8223,92.0709,9.3832,1
2022-08-29,9080.29,920.72,10001.0,100.01,97.7124,90.9685,9.2063,1
2022-08-30,9080.29,929.7,10009.99,100.0999,97.6967,90.8097,9.2878,1
2022-08-31,9080.29,932.44,10012.72,100.1272,97.5539,89.3804,9.3125,1
2022-09-01,9080.29,913.69,9993.97,99.9397,97.4213,88.0757,9.1424,1
2022-09-02,9080.29,941.42,10021.71,100.2171,97.6635,90.4706,9.3938,1
2022-09-05,9080.29,923.84,10004.13,100.0413,97.5922,89.7683,9.2346,1
2022-09-06,9080.29,923.84,10004.13,100.0413,97.5966,89.8121,9.2346,1
2022-09-07,9080.29,906.27,9986.55,99.8655,97.6066,89.9115,9.0749,1
2022-09-08,9080.29,908.22,9988.5,99.885,97.6117,89.9629,9.0926,1
2022-09-09,9080.29,936.34,10016.63,100.1663,97.7242,91.1038,9.3479,1
2022-09-12,9080.29,966.03,10046.32,100.4632,97.9157,93.0134,9.6158,1
2022-09-13,9080.29,950.02,10030.3,100.303,97.8413,92.278,9.4715,1
2022-09-14,9080.29,958.22,10038.5,100.385,97.7932,91.7988,9.5454,1
2022-09-15,9080.29,977.75,10058.04,100.5804,97.7318,91.1955,9.7211,1
2022-09-16,9080.29,963.3,10043.58,100.4358,97.5406,89.3599,9.5912,1
2022-09-19,9080.29,958.61,10038.9,100.389,97.5408,89.3621,9.549,1
2022-09-20,9080.29,949.63,10029.91,100.2991,97.3819,87.8372,9.4679,1
2022-09-21,9080.29,909.78,9990.07,99.9007,97.4302,88.2977,9.1069,1
2022-09-22,9080.29,847.28,9927.57,99.2757,97.2529,86.5335,8.5346,1
2022-09-23,9080.29,818.76,9899.05,98.9905,97.0533,84.4524,8.2711,1
2022-09-26,8101.29,1833.42,9934.71,99.3471,97.0391,84.303,18.4547,1
2022-09-27,8101.29,1821.36,9922.66,99.2266,96.9817,84.0325,18.3556,1
2022-09-28,8101.29,1858.39,9959.69,99.5969,97.0769,84.4822,18.6592,1
2022-09-29,8101.29,1846.34,9947.63,99.4763,96.8651,83.4941,18.5606,1
2022-09-30,8101.29,1860.98,9962.27,99.6227,97.1488,84.8118,18.6803,1
2022-10-03,8101.29,1860.12,9961.41,99.6141,97.3339,85.677,18.6732,1
2022-10-04,8101.29,1938.48,10039.78,100.3978,98.0583,89.0914,19.308,1
2022-10-05,8101.29,1914.37,10015.66,100.1566,97.9379,88.5248,19.1138,1
2022-10-06,8101.29,1870.45,9971.74,99.7174,97.7518,87.6451,18.7575,1
2022-10-07,8101.29,1829.11,9930.41,99.3041,97.6046,86.9415,18.4193,1
2022-10-10,8101.29,1831.7,9932.99,99.3299,97.5512,86.6829,18.4405,1
2022-10-11,8101.29,1825.67,9926.96,99.2696,97.4776,86.3284,18.391,1
2022-10-12,8101.29,1817.92,9919.21,99.1921,97.3552,85.7393,18.3273,1
2022-10-13,8101.29,1877.34,9978.63,99.7863,97.7404,87.5902,18.8136,1
2022-10-14,8101.29,1880.78,9982.08,99.8208,97.8617,88.1677,18.8416,1
2022-10-17,8101.29,1914.37,10015.66,100.1566,98.2562,90.0544,19.1138,1
2022-10-18,8101.29,1939.34,10040.64,100.4064,98.3763,90.6301,19.3149,1
2022-10-19,8101.29,1937.62,10038.92,100.3892,98.3301,90.4099,19.3011,1
2022-10-20,8101.29,1954.84,10056.14,100.5614,98.4425,90.9452,19.4393,1
2022-10-21,8101.29,1914.37,10015.66,100.1566,98.389,90.691,19.1138,1
2022-10-24,8101.29,1944.51,10045.8,100.458,98.7334,92.3519,19.3564,1
2022-10-25,8101.29,1977.23,10078.53,100.7853,98.989,93.5871,19.6183,1
2022-10-26,8101.29,2020.29,10121.59,101.2159,99.0681,93.968,19.9602,1
2022-10-27,8101.29,2053.88,10155.17,101.5517,99.0763,94.0072,20.2249,1
2022-10-28,8101.29,2060.77,10162.06,101.6206,99.2172,94.668,20.279,1
2022-10-31,10171.73,0.0,10171.73,101.7173,99.2069,94.6195,0.0,0
2022-11-01,10171.73,0.0,10171.73,101.7173,99.2069,95.8399,0.0,0
2022-11-02,10171.73,0.0,10171.73,101.7173,99.2069,94.7304,0.0,0
2022-11-03,10171.73,0.0,10171.73,101.7173,99.2069,94.5828,0.0,0
2022-11-04,10171.73,0.0,10171.73,101.7173,99.2069,96.3817,0.0,0
2022-11-07,10171.73,0.0,10171.73,101.7173,99.2069,96.657,0.0,0
2022-11-08,10171.73,0.0,10171.73,101.7173,99.2069,96.9193,0.0,0
2022-11-09,10171.73,0.0,10171.73,101.7173,99.2069,96.9964,0.0,0
2022-11-10,10171.73,0.0,10171.73,101.7173,99.2069,98.6842,0.0,0
2022-11-11,10171.73,0.0,10171.73,101.7173,99.2069,99.7287,0.0,0
2022-11-14,10171.73,0.0,10171.73,101.7173,99.2069,99.7005,0.0,0
2022-11-15,10171.73,0.0,10171.73,101.7173,99.2069,100.3914,0.0,0
2022-11-16,10171.73,0.0,10171.73,101.7173,99.2069,99.5139,0.0,0
2022-11-17,10171.73,0.0,10171.73,101.7173,99.2069,98.5394,0.0,0
2022-11-18,10171.73,0.0,10171.73,101.7173,99.2069,99.2894,0.0,0
2022-11-21,10171.73,0.0,10171.73,101.7173,99.2069,99.0767,0.0,0
2022-11-22,10171.73,0.0,10171.73,101.7173,99.2069,99.9484,0.0,0
2022-11-23,10171.73,0.0,10171.73,101.7173,99.2069,99.9618,0.0,0
2022-11-24,10171.73,0.0,10171.73,101.7173,99.2069,100.2947,0.0,0
2022-11-25,10171.73,0.0,10171.73,101.7173,99.2069,100.6076,0.0,0
2022-11-28,10171.73,0.0,10171.73,101.7173,99.2069,99.3148,0.0,0
2022-11-29,10171.73,0.0,10171.73,101.7173,99.2069,99.6291,0.0,0
2022-11-30,10171.73,0.0,10171.73,101.7173,99.2069,100.2815,0.0,0
2022-12-01,10171.73,0.0,10171.73,101.7173,99.2069,100.7028,0.0,0
2022-12-02,10171.73,0.0,10171.73,101.7173,99.2069,100.746,0.0,0
2022-12-05,10171.73,0.0,10171.73,101.7173,99.2069,99.8547,0.0,0
2022-12-06,10171.73,0.0,10171.73,101.7173,99.2069,99.9684,0.0,0
2022-12-07,10171.73,0.0,10171.73,101.7173,99.2069,99.3292,0.0,0
2022-12-08,10171.73,0.0,10171.73,101.7173,99.2069,99.296,0.0,0
2022-12-09,10171.73,0.0,10171.73,101.7173,99.2069,100.0876,0.0,0
2022-12-12,10171.73,0.0,10171.73,101.7173,99.2069,99.5547,0.0,0
2022-12-13,10171.73,0.0,10171.73,101.7173,99.2069,100.8009,0.0,0
2022-12-14,10171.73,0.0,10171.73,101.7173,99.2069,100.3924,0.0,0
2022-12-15,10171.73,0.0,10171.73,101.7173,99.2069,98.0824,0.0,0
2022-12-16,10171.73,0.0,10171.73,101.7173,99.2069,96.774,0.0,0
2022-12-19,10171.73,0.0,10171.73,101.7173,99.2069,96.9395,0.0,0
2022-12-20,10171.73,0.0,10171.73,101.7173,99.2069,96.5345,0.0,0
2022-12-21,10171.73,0.0,10171.73,101.7173,99.2069,98.2902,0.0,0
2022-12-22,10171.73,0.0,10171.73,101.7173,99.2069,97.6103,0.0,0
2022-12-23,10171.73,0.0,10171.73,101.7173,99.2069,97.5819,0.0,0
2022-12-27,10171.73,0.0,10171.73,101.7173,99.2069,98.244,0.0,0
2022-12-28,10171.73,0.0,10171.73,101.7173,99.2069,97.4098,0.0,0
2022-12-29,10171.73,0.0,10171.73,101.7173,99.2069,98.0103,0.0,0
2022-12-30,10171.73,0.0,10171.73,101.7173,99.2069,96.8453,0.0,0
2023-01-02,10171.73,0.0,10171.73,101.7173,99.2069,98.6488,0.0,0
2023-01-03,10171.73,0.0,10171.73,101.7173,99.2069,98.8671,0.0,0
2023-01-04,10171.73,0.0,10171.73,101.7173,99.2069,100.0246,0.0,0
2023-01-05,10171.73,0.0,10171.73,101.7173,99.2069,100.4,0.0,0
2023-01-06,10171.73,0.0,10171.73,101.7173,99.2069,101.5199,0.0,0
2023-01-09,10171.73,0.0,10171.73,101.7173,99.2069,102.1009,0.0,0
2023-01-10,10171.73,0.0,10171.73,101.7173,99.2069,101.6898,0.0,0
2023-01-11,10171.73,0.0,10171.73,101.7173,99.2069,102.1659,0.0,0
2023-01-12,10171.73,0.0,10171.73,101.7173,99.2069,103.7293,0.0,0
2023-01-13,10171.73,0.0,10171.73,101.7173,99.2069,104.1181,0.0,0
