DATE,TICKER,TYPE,PHASE,ENONCE,BORNE_BASSE,BORNE_HAUTE,DATE_DEPOUILLEMENT,VALEUR_CONSTATEE,VERDICT
2024-09-30,SAN.PA,CANAL,,"clôture entre 97,53 € et 101,97 € au 2024-10-31",97.5325,101.96679999999999,2024-10-31,88.0882339477539,DEMENTIE
2024-09-30,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,-0.38789003555210755,CONFIRMEE
2024-09-30,BNP.PA,CANAL,,"clôture entre 56,81 € et 56,89 € au 2024-10-31",56.8108,56.8934,2024-10-31,55.374977111816406,DEMENTIE
2024-09-30,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,7.188562838544577,DEMENTIE
2024-09-30,TTE.PA,CANAL,,"clôture entre 53,23 € et 55,13 € au 2024-10-31",53.234500000000004,55.1347,2024-10-31,52.00509262084961,DEMENTIE
2024-09-30,TTE.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,3.3586018484326408,CONFIRMEE
2024-09-30,SU.PA,CANAL,,"clôture entre 174,27 € et 242,51 € au 2024-10-31",174.2716,242.5067,2024-10-31,229.42495727539062,CONFIRMEE
2024-09-30,SU.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2024-10-31",0.0,,2024-10-31,5.6623061162761505,CONFIRMEE
2024-09-30,AI.PA,CANAL,,"clôture entre 140,15 € et 155,89 € au 2024-10-31",140.1465,155.8894,2024-10-31,143.9571533203125,CONFIRMEE
2024-09-30,AI.PA,REFLEXIVE,AUTO-RENFORCEMENT,"AUTO-RENFORCEMENT : écart contre TR12 positif ou nul, au 2024-10-31",0.0,,2024-10-31,0.27529429212349577,CONFIRMEE
2024-09-30,DG.PA,CANAL,,"clôture entre 99,94 € et 102,17 € au 2024-10-31",99.9358,102.1731,2024-10-31,95.79426574707031,DEMENTIE
2024-09-30,DG.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,4.062104145471501,CONFIRMEE
2024-09-30,CAP.PA,CANAL,,"clôture entre 147,06 € et 186,42 € au 2024-10-31",147.06179999999998,186.4185,2024-10-31,150.76461791992188,CONFIRMEE
2024-09-30,CAP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,-12.678055198174498,DEMENTIE
2024-09-30,RI.PA,CANAL,,"clôture entre 90,86 € et 124,17 € au 2024-10-31",90.85979999999999,124.1681,2024-10-31,102.00711059570312,CONFIRMEE
2024-09-30,RI.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,-10.505901682294393,DEMENTIE
2024-09-30,ORA.PA,CANAL,,"clôture entre 9,47 € et 9,90 € au 2024-10-31",9.4682,9.897499999999999,2024-10-31,9.026800155639648,DEMENTIE
2024-09-30,ORA.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-10-31",-5.0,5.0,2024-10-31,3.391578035637277,CONFIRMEE
2024-10-31,AIR.PA,CANAL,,"clôture entre 118,43 € et 136,21 € au 2024-11-29",118.4329,136.2055,2024-11-29,141.69769287109375,DEMENTIE
2024-10-31,AIR.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,8.047058770581561,DEMENTIE
2024-10-31,MC.PA,CANAL,,"clôture entre 514,97 € et 637,69 € au 2024-11-29",514.9663,637.6868999999999,2024-11-29,564.0547485351562,CONFIRMEE
2024-10-31,MC.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,-0.06960698817681799,CONFIRMEE
2024-10-31,OR.PA,CANAL,,"clôture entre 312,94 € et 371,99 € au 2024-11-29",312.9386,371.9894,2024-11-29,316.581298828125,CONFIRMEE
2024-10-31,OR.PA,REFLEXIVE,RETOURNEMENT,"RETOURNEMENT : écart contre TR12 négatif ou nul, au 2024-11-29",,0.0,2024-11-29,-1.7642041926109076,CONFIRMEE
2024-10-31,SAN.PA,CANAL,,"clôture entre 89,78 € et 106,74 € au 2024-11-29",89.7753,106.7437,2024-11-29,83.53459930419922,DEMENTIE
2024-10-31,SAN.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,-2.4020171606111473,CONFIRMEE
2024-10-31,BNP.PA,CANAL,,"clôture entre 54,88 € et 58,80 € au 2024-11-29",54.8807,58.798100000000005,2024-11-29,49.983089447021484,DEMENTIE
2024-10-31,BNP.PA,REFLEXIVE,AUCUNE SEQUENCE,"AUCUNE SEQUENCE : écart contre TR12 dans ± 5 points, au 2024-11-29",-5.0,5.0,2024-11-29,-6.969662694515932,DEMENTIE
