DATE,TICKER,SOUS_BAS,TAUX_20_POSITIF,AU_DESSUS_HAUT,REPLI_SOUS_SEUIL,SOUS_ECHANTILLON,RENDEMENT_20
2023-05-19,SAF.PA,non,oui,non,non,non,-0.9112
2023-05-19,AIR.PA,non,oui,non,non,non,1.5011
2023-05-19,PUB.PA,oui,non,non,non,non,3.4078
2023-05-19,SGO.PA,non,oui,non,non,non,5.1951
2023-05-19,MC.PA,non,non,non,non,non,-0.652
2023-05-19,CAP.PA,non,non,non,non,non,11.2848
2023-05-26,ENGI.PA,non,non,non,non,oui,1.5544
2023-05-26,AC.PA,non,oui,non,non,oui,4.9217
2023-05-26,EN.PA,oui,non,non,non,oui,-2.1164
2023-05-26,TTE.PA,non,oui,non,non,oui,-5.3358
2023-05-26,SAF.PA,oui,oui,non,non,oui,1.2844
2023-05-26,AIR.PA,non,oui,non,non,oui,0.8434
2023-05-26,PUB.PA,oui,non,non,non,oui,1.2254
2023-05-26,SGO.PA,non,oui,non,non,oui,4.5478
2023-05-26,MC.PA,oui,non,non,non,oui,-1.5886
2023-05-26,CAP.PA,oui,non,non,non,oui,10.139
2023-06-02,ENGI.PA,non,non,non,non,non,7.9694
2023-06-02,AC.PA,non,oui,non,non,non,7.3525
2023-06-02,EN.PA,oui,non,non,non,non,1.0845
2023-06-02,TTE.PA,non,non,non,non,non,-3.4218
2023-06-02,SAF.PA,oui,non,non,non,non,3.179
2023-06-02,AIR.PA,non,oui,non,non,non,3.1002
2023-06-02,PUB.PA,oui,oui,non,non,non,3.8136
2023-06-02,SGO.PA,non,oui,non,non,non,5.7271
2023-06-02,MC.PA,oui,non,non,non,non,3.8633
2023-06-02,CAP.PA,non,oui,non,non,non,3.4884
2023-06-09,ENGI.PA,non,non,non,non,non,6.0866
2023-06-09,AC.PA,non,oui,non,non,non,1.9878
2023-06-09,EN.PA,oui,non,non,non,non,-3.1652
2023-06-09,TTE.PA,non,non,non,non,non,-5.6936
2023-06-09,SAF.PA,oui,non,non,non,non,-1.3173
2023-06-09,AIR.PA,non,oui,non,non,non,2.0869
2023-06-09,PUB.PA,non,oui,non,non,non,1.5833
2023-06-09,SGO.PA,non,oui,non,non,non,-0.2601
2023-06-09,MC.PA,oui,non,non,non,non,0.6585
2023-06-09,CAP.PA,non,oui,non,non,non,0.6235
2023-06-16,ENGI.PA,non,oui,non,non,non,4.5695
2023-06-16,AC.PA,non,oui,non,non,non,2.4184
2023-06-16,EN.PA,oui,non,non,non,non,0.197
2023-06-16,TTE.PA,non,non,non,non,non,-3.3385
2023-06-16,SAF.PA,non,oui,non,non,non,-2.4206
2023-06-16,AIR.PA,non,oui,non,non,non,1.4027
2023-06-16,PUB.PA,non,oui,non,non,non,1.7173
2023-06-16,SGO.PA,non,oui,oui,non,non,2.7051
2023-06-16,MC.PA,non,oui,non,non,non,2.7285
2023-06-16,CAP.PA,non,oui,oui,non,non,-1.4258
2023-06-23,ENGI.PA,oui,oui,non,non,oui,9.5663
2023-06-23,AC.PA,non,oui,non,non,oui,3.442
2023-06-23,EN.PA,oui,non,non,non,oui,6.9595
2023-06-23,TTE.PA,oui,non,non,non,oui,3.7272
2023-06-23,SAF.PA,non,oui,non,non,oui,1.606
2023-06-23,AIR.PA,non,oui,non,non,oui,6.1228
2023-06-23,PUB.PA,non,oui,non,non,oui,4.3128
2023-06-23,SGO.PA,non,oui,non,non,oui,7.9741
2023-06-23,MC.PA,oui,oui,non,non,oui,4.5537
2023-06-23,CAP.PA,non,oui,non,non,oui,2.8639
2023-06-30,ENGI.PA,non,oui,non,non,non,-1.5366
2023-06-30,AC.PA,non,oui,oui,non,non,0.0882
2023-06-30,EN.PA,non,non,non,non,non,7.9649
2023-06-30,TTE.PA,non,non,non,non,non,3.5966
2023-06-30,SAF.PA,non,oui,non,non,non,4.8794
2023-06-30,AIR.PA,non,oui,non,non,non,0.8009
2023-06-30,PUB.PA,non,oui,non,non,non,4.2493
2023-06-30,SGO.PA,non,oui,oui,non,non,10.2817
2023-06-30,MC.PA,non,oui,non,non,non,-2.5261
2023-06-30,CAP.PA,non,oui,oui,non,non,-3.7741
2023-07-07,ENGI.PA,non,oui,non,non,non,-4.3461
2023-07-07,AC.PA,non,oui,non,non,non,-1.4693
2023-07-07,EN.PA,oui,non,non,non,non,10.1124
2023-07-07,TTE.PA,oui,non,non,non,non,8.7476
