TIRAGE,UNIVERS,TOP10
415,101.1853,90.9626
416,90.0427,93.1211
417,101.5768,89.4801
418,91.0111,90.182
419,102.4303,91.471
420,101.0327,93.2853
421,94.8494,92.6511
422,92.8609,91.9232
423,94.1986,94.5712
424,98.1413,96.9836
425,106.3285,89.3156
426,99.8666,98.3019
427,96.27,93.298
428,96.8874,98.7556
429,94.5995,92.3119
430,91.4078,91.1902
431,102.2077,94.6169
432,101.3156,94.8457
433,93.4223,88.8507
434,94.7546,88.5097
435,95.936,97.6164
436,97.8888,92.341
437,99.1174,91.639
438,89.1891,93.0975
439,97.9011,93.1992
440,91.4373,91.3542
441,102.1794,97.4641
442,91.9294,91.8618
443,94.1414,94.3991
444,96.9585,93.5627
445,99.9881,94.3306
446,99.2175,96.9859
447,97.2853,85.5058
448,104.4094,94.1829
449,89.861,95.8716
450,97.9757,89.8342
451,99.5045,90.5559
452,102.6022,95.3436
453,98.8491,93.606
454,103.1145,97.3089
455,100.6107,92.6374
456,97.3661,93.3411
457,100.9178,95.689
458,95.7535,99.1051
459,93.9952,93.2319
460,98.3018,94.9444
461,97.4681,93.6086
462,95.5308,97.9092
463,88.3702,97.86
464,100.8833,95.6137
465,104.2508,93.8862
466,94.07,95.8429
467,99.5228,97.4905
468,96.525,90.8187
469,97.8411,92.3716
470,92.5294,94.0316
471,96.3256,88.3841
472,100.6479,95.5433
473,98.0354,90.549
474,103.5452,98.2239
475,99.1348,96.5435
476,94.5992,88.0466
477,96.7433,92.7182
478,90.6325,92.2704
479,93.3352,93.1389
480,94.7007,95.2166
481,93.4582,93.2643
482,96.3906,87.2762
483,102.2407,97.3194
484,104.9242,95.7372
485,104.192,93.0696
486,98.1028,95.403
487,102.9077,97.5556
488,93.5761,90.0931
489,99.7855,92.381
490,95.0038,94.692
491,93.4588,88.3357
492,98.2569,93.7507
493,94.8415,89.4846
494,97.5027,92.0638
495,97.2324,95.2319
496,92.4212,92.388
497,98.0268,90.6938
498,96.7244,91.7444
499,97.3476,91.3248
500,98.422,95.3174
501,96.4554,91.6705
502,98.0424,89.8222
503,98.097,88.7817
504,87.0766,91.1763
505,101.0706,92.397
506,97.6936,93.9454
507,99.7823,93.2756
508,95.9768,92.3007
509,99.4526,95.8046
510,97.3045,94.9429
511,100.2935,91.1138
512,97.1724,89.9117
513,94.5404,92.0707
514,94.4551,96.0574
515,96.0564,92.2717
516,93.9586,92.1159
517,97.6918,91.8049
518,92.1342,90.781
519,100.2764,90.3036
520,94.6367,93.6771
521,103.4288,94.3876
522,95.8596,90.5458
523,88.2441,90.7855
524,102.493,91.4634
525,101.3369,98.2946
526,98.5665,86.8468
527,83.3504,91.5239
528,100.6003,93.2016
529,100.306,92.8065
530,95.789,92.3937
531,110.7817,87.2849
532,92.4132,96.7514
533,96.0725,94.8498
534,94.1185,89.2078
535,94.03,90.3547
536,100.3143,87.9379
537,102.1311,89.8074
538,98.6314,96.638
539,95.6304,96.0316
540,95.9986,93.4915
541,100.095,92.4962
542,98.1253,93.1235
543,98.7313,90.3846
544,96.1798,90.6897
545,90.2348,89.478
546,92.7699,96.0267
547,102.2004,91.526
548,105.6615,89.9654
549,100.8953,96.641
550,96.2823,92.3733
551,99.2008,90.1439
552,94.8089,92.9306
553,95.8106,91.8982
554,94.108,91.9926
555,98.776,91.1897
556,99.7701,94.6627
557,93.2291,97.8115
558,90.712,92.8787
559,103.2393,92.1
560,101.3276,92.1527
561,98.6041,95.548
562,95.515,89.3585
563,97.9612,95.8835
564,97.1323,95.2652
565,93.3282,94.1059
566,92.2761,95.5191
567,95.8595,95.4714
568,98.4836,94.3149
569,106.8515,93.8652
570,98.3277,93.2705
571,93.5968,94.3807
572,87.0563,92.0757
573,101.1198,89.9884
574,94.7844,93.601
575,100.1709,95.2008
576,98.2885,94.8051
577,93.4197,88.4997
578,92.3392,90.7074
579,88.909,97.4204
580,103.5205,95.0322
581,95.673,93.1548
582,100.8299,96.8141
583,103.9994,96.6399
584,96.4614,93.9134
585,102.3418,93.4679
586,93.0564,91.4495
587,95.8554,92.1748
588,99.2729,91.6635
589,94.2296,93.9373
590,96.9533,88.9009
591,95.824,97.2936
592,91.8795,93.0273
593,98.5917,90.5939
594,91.9756,90.193
595,101.6091,96.0853
596,99.4001,96.6991
597,97.3732,93.7282
598,96.8641,92.1461
599,102.06,95.4041
600,96.3024,90.5146
601,96.4989,93.624
602,91.7602,96.0573
603,102.927,97.8601
604,99.1444,93.4411
605,95.2049,90.6852
606,94.7856,92.6639
607,91.3183,98.1523
608,88.0838,92.3052
609,96.2313,97.9947
610,102.3485,93.7553
611,92.3358,87.347
612,94.6356,88.5861
613,103.5702,96.5995
614,102.8174,92.1025
615,91.7379,87.3782
616,97.587,94.3348
617,97.5975,89.3868
618,98.7549,91.6436
619,103.4457,92.6541
620,96.1533,96.3271
621,94.972,89.8743
622,105.7819,95.6082
623,90.59,92.6671
624,100.909,90.6423
625,98.6524,97.4643
626,95.9712,97.6594
627,91.7275,88.836
628,96.4947,90.6321
629,95.0599,94.0201
630,95.3005,93.7733
631,99.3764,91.7208
632,101.9967,91.9376
633,92.6233,91.2853
634,99.913,100.4492
635,97.399,92.4523
636,100.4127,93.4136
637,97.8813,90.0298
638,103.8271,93.2728
639,89.9194,89.2101
640,94.0812,98.2138
641,103.2597,89.7229
642,94.6544,92.5401
643,96.9878,94.0824
644,99.3646,99.4294
645,93.8385,90.7363
646,98.5324,90.1502
647,101.9033,90.7532
648,98.0902,96.5425
649,100.5209,90.1528
650,93.1974,89.4177
651,97.8655,99.5241
652,89.8387,95.1539
653,98.6243,96.1477
654,94.6279,93.1851
655,100.2544,92.8223
656,99.0367,92.6095
657,99.1315,94.2981
658,89.7338,96.0062
659,93.6799,97.8993
660,90.9382,88.653
661,101.0685,95.6774
662,98.4083,93.7101
663,101.2028,93.4481
664,87.7088,92.2343
665,93.9105,91.9171
666,102.1803,95.9069
