DATE,TICKER,UNIVERS,CLOSE,E_120,VAL_120,S_120,TAUX_120,ECART_S,E_20,VAL_20,TAUX_20,ENV_BAS,ENV_HAUT,LARGEUR_ENV_S,RANG,CANDIDAT,DIAGNOSTIC
2021-10-05,SU.PA,oui,130.66500854492188,127.677695,140.001932,4.399271,0.162229,-2.12238,136.16948,130.509045,-0.437569,4.282048,5.281275,3.819698,7,non,
2021-10-05,TEP.PA,oui,285.5216369628906,288.800053,316.395299,10.137849,0.160591,-3.045386,304.817857,285.739747,-0.658827,6.494364,13.325213,3.150922,8,non,
2021-10-05,TTE.PA,oui,33.02784729003906,28.544505,29.050223,1.162266,0.029776,3.422302,29.804081,32.387708,0.912495,1.065331,0.672422,3.736712,25,non,
2021-10-05,VIE.PA,oui,22.006149291992188,20.860308,22.492431,0.601337,0.131497,-0.808668,22.032543,21.358491,-0.322037,0.562811,0.647658,3.680205,12,non,
2021-10-05,VIV.PA,oui,9.987424850463867,10.567559,11.173259,0.578682,0.096331,-2.049197,10.74921,9.354433,-1.365855,1.241261,0.632992,3.663563,15,non,
2021-10-05,WLN.PA,oui,680.7359619140625,790.96718,737.698315,37.890093,-0.113187,-1.503357,702.027017,669.431676,-0.48874,17.758001,11.304286,3.719578,,non,
2021-10-06,ACA.PA,oui,8.379963874816895,8.12116,8.041896,0.211247,-0.016404,1.600347,8.044617,8.148555,0.136002,0.454319,0.277515,3.374943,,non,
2021-10-06,AI.PA,oui,94.53446960449219,99.35316,102.320293,2.772352,0.050192,-2.808383,98.472265,94.231189,-0.453355,2.656949,1.147739,3.875934,24,non,
2021-10-06,AIR.PA,oui,104.05548095703125,100.648516,109.030732,3.581684,0.13997,-1.389082,105.16375,105.783936,0.062077,2.302859,2.23314,3.093613,11,non,
2021-10-06,ALO.PA,oui,29.88995933532715,38.378372,29.976855,1.737664,-0.367921,-0.050007,31.214639,31.248084,0.011278,1.531088,1.130353,3.463669,,non,
2021-10-06,ATO.PA,non,3320.19140625,3593.752618,3021.067017,256.67328,-0.267825,1.16539,3357.04126,3388.20218,0.097708,175.821746,127.115063,4.608287,,non,
2021-10-06,BN.PA,oui,48.66363525390625,50.417963,51.983822,1.574636,0.052198,-2.108543,50.030766,49.185695,-0.1778,0.52206,0.572407,2.948849,23,non,
2021-10-06,BNP.PA,oui,40.469459533691406,37.606023,37.632756,1.529786,0.001195,1.854314,38.359534,40.161799,0.494563,2.105392,1.079122,3.46693,28,non,
2021-10-06,CA.PA,oui,12.196422576904297,12.440903,12.159555,0.507507,-0.038008,0.072644,11.714632,12.038433,0.290955,0.448098,0.45832,3.57363,,non,
2021-10-06,CAP.PA,oui,158.4582061767578,153.384275,177.139226,6.166198,0.260289,-3.029585,168.355093,160.983634,-0.460897,5.113882,8.182582,3.152509,3,non,
2021-10-06,CS.PA,oui,17.680343627929688,16.946868,17.615866,0.5432,0.066347,0.118699,17.462408,17.820189,0.21567,0.715234,0.299394,3.629915,20,non,
2021-10-06,DG.PA,oui,73.90737915039062,75.640155,73.938791,1.675925,-0.037803,-0.018743,73.887098,75.153672,0.180442,2.111848,2.409865,4.115739,,non,
2021-10-06,DSY.PA,oui,42.72774887084961,41.590584,48.59403,1.939894,0.283009,-3.024022,46.118257,43.32589,-0.637347,2.105452,2.776425,3.048423,2,non,
2021-10-06,EL.PA,oui,146.9674530029297,137.620221,153.999854,2.900195,0.200035,-2.424803,150.378115,148.106247,-0.159028,3.517353,4.400927,4.44508,5,non,
2021-10-06,EN.PA,oui,26.875490188598633,26.089942,27.085491,1.057163,0.064132,-0.198646,27.575286,27.285711,-0.110539,0.410221,0.576753,3.587537,21,non,
2021-10-06,ENGI.PA,oui,7.876840591430664,8.03609,7.909455,0.217973,-0.026484,-0.149628,7.939553,7.840639,-0.131141,0.21764,0.158243,4.566288,,non,
2021-10-06,ERF.PA,oui,100.700439453125,94.70133,117.029414,5.550282,0.396258,-2.942008,110.41251,99.955848,-0.996899,4.69805,6.422988,3.030808,1,non,
2021-10-06,GLE.PA,oui,22.133220672607422,20.444452,21.542958,0.907695,0.090305,0.650287,21.140745,21.699847,0.278385,1.466924,0.697964,3.475056,16,non,
2021-10-06,HO.PA,oui,74.87216186523438,77.053859,77.248459,1.989169,0.004245,-1.194618,75.080441,75.930177,0.119134,1.968986,1.804175,3.318753,27,non,
2021-10-06,KER.PA,oui,539.3367309570312,619.687999,597.756558,40.753773,-0.059481,-1.433483,557.88035,530.042561,-0.525255,26.569173,26.349667,3.610089,,non,
2021-10-06,LR.PA,oui,81.42088317871094,82.35344,89.546507,2.255256,0.146796,-3.602972,85.706629,82.03611,-0.450806,1.578831,2.056093,3.408694,9,non,
2021-10-06,MC.PA,oui,567.098876953125,591.435977,594.223346,22.821362,0.007921,-1.188556,576.824323,564.356466,-0.227523,20.211195,17.524813,3.496432,26,non,
2021-10-06,ML.PA,oui,26.832918167114258,27.035425,28.80414,0.999773,0.109953,-1.971668,27.252595,26.89105,-0.139647,0.994163,0.801299,4.285444,14,non,
2021-10-06,MT.AS,oui,22.3612003326416,24.733786,25.887053,1.466702,0.078365,-2.403932,24.255377,22.626165,-0.707043,1.791722,1.340619,3.971258,18,non,
2021-10-06,OR.PA,oui,330.302490234375,347.506682,365.269644,12.898718,0.085908,-2.710901,348.454596,328.091728,-0.615133,10.507062,9.756996,3.973543,17,non,
2021-10-06,ORA.PA,oui,6.807332992553711,7.065256,6.818736,0.10583,-0.058642,-0.107748,6.831931,6.820377,-0.017802,0.064866,0.065308,3.392803,,non,
2021-10-06,PUB.PA,oui,46.091896057128906,44.143831,45.817204,0.82553,0.06371,0.332746,46.150217,46.952167,0.182915,0.860271,0.596111,3.018716,22,non,
2021-10-06,RI.PA,oui,161.5499267578125,150.311787,157.241526,2.904735,0.077483,1.483233,156.778735,159.372116,0.174123,4.320822,2.225336,3.03363,19,non,
2021-10-06,RMS.PA,oui,1136.2435302734375,1155.388259,1267.452349,53.359567,0.163013,-2.458956,1193.652979,1141.754164,-0.457673,32.074965,68.649949,3.842253,6,non,
2021-10-06,RNO.PA,oui,25.408231735229492,27.704374,25.591012,1.216618,-0.128206,-0.150237,25.3913,26.285465,0.370688,1.395244,1.04717,3.4975,,non,
2021-10-06,SAF.PA,oui,105.1126480102539,109.983223,100.084432,3.727459,-0.151265,1.348966,103.555037,107.385504,0.389365,3.702815,5.147074,3.973733,,non,
2021-10-06,SAN.PA,oui,66.94818878173828,69.612361,68.942874,1.876297,-0.016164,-1.063097,66.487738,67.021401,0.084489,0.736948,1.284671,4.108218,,non,
2021-10-06,SGO.PA,oui,48.87185287475586,50.05535,54.391824,1.933744,0.145603,-2.854551,51.659028,49.527245,-0.434383,1.381128,1.38336,3.036111,10,non,
2021-10-06,STLAP.PA,oui,11.646988868713379,11.918886,12.737924,0.609759,0.115492,-1.789123,12.122563,11.874432,-0.215458,0.481225,0.45206,3.673624,13,non,
