DATE,DATE_DECISION,TICKER,SENS,QUANTITE,PRIX,BRUT,FRAIS,NET,RANG,TAUX_120,ECART_S,TAUX_20,ECART_OUVERTURE,MOTIF
2022-07-04,2022-07-01,SAN.PA,ACHAT,11,82.4241,906.6653,3.7627,910.428,2,0.1292,-1.1447,0.0187,0.6665,"clôture 81,88 € sous le bord bas 82,25 € (-1,14 s), rang 2, TAUX_120 +0,129 %/séance, TAUX_20 +0,019 %/séance"
2022-07-08,2022-07-07,ORA.PA,ACHAT,114,8.3641,953.5034,3.957,957.4604,3,0.1083,-2.4646,0.1395,-0.391,"clôture 8,40 € sous le bord bas 8,68 € (-2,46 s), rang 3, TAUX_120 +0,108 %/séance, TAUX_20 +0,139 %/séance"
2022-07-20,2022-07-19,DG.PA,VENTE,13,77.138,1002.7938,1.1532,1001.6406,,-0.0786,1.2159,0.1201,0.3777,"clôture 76,85 € au-dessus du bord haut 76,23 € (+1,22 s)"
2022-08-04,2022-08-03,CS.PA,VENTE,55,18.5794,1021.8643,1.1751,1020.6891,,-0.0992,1.5257,0.3293,-0.1281,"clôture 18,60 € au-dessus du bord haut 18,15 € (+1,53 s)"
2022-08-19,2022-08-18,ALO.PA,ACHAT,44,22.1157,973.0898,4.0383,977.1282,2,0.1529,-1.7359,0.2583,0.0448,"clôture 22,11 € sous le bord bas 23,12 € (-1,74 s), rang 2, TAUX_120 +0,153 %/séance, TAUX_20 +0,258 %/séance"
2022-09-13,2022-09-12,CA.PA,VENTE,68,13.2576,901.5168,1.0367,900.48,,-0.1767,1.0637,-0.3454,0.2074,"clôture 13,23 € au-dessus du bord haut 13,20 € (+1,06 s)"
2022-09-27,2022-09-26,RNO.PA,ACHAT,40,24.0199,960.7977,3.9873,964.785,1,0.2637,-1.4647,0.3011,1.1947,"clôture 23,74 € sous le bord bas 24,32 € (-1,46 s), rang 1, TAUX_120 +0,264 %/séance, TAUX_20 +0,301 %/séance"
2022-10-21,2022-10-20,OR.PA,ACHAT,3,296.0465,888.1396,3.6858,891.8254,7,0.0562,-1.1308,0.0043,-3.873,"clôture 307,97 € sous le bord bas 309,89 € (-1,13 s), rang 7, TAUX_120 +0,056 %/séance, TAUX_20 +0,004 %/séance"
2022-10-24,2022-10-21,SAN.PA,VENTE,11,68.6546,755.2004,0.8685,754.3319,,-0.25,1.0084,0.2787,0.2452,"clôture 68,49 € au-dessus du bord haut 68,46 € (+1,01 s)"
2022-10-27,2022-10-26,ALO.PA,VENTE,44,19.9448,877.5692,1.0092,876.56,,-0.2976,1.5093,0.9417,-0.642,"clôture 20,07 € au-dessus du bord haut 19,35 € (+1,51 s)"
2022-10-27,2022-10-26,HO.PA,VENTE,8,117.3243,938.5945,1.0794,937.5152,12,0.0125,1.6922,0.3838,0.5149,"clôture 116,72 € au-dessus du bord haut 113,84 € (+1,69 s)"
2022-10-31,2022-10-28,ORA.PA,VENTE,114,7.4901,853.8756,0.982,852.8936,,-0.1734,1.2811,0.1147,0.3771,"clôture 7,46 € au-dessus du bord haut 7,41 € (+1,28 s)"
2022-11-29,2022-11-28,OR.PA,VENTE,3,331.8771,995.6313,1.145,994.4863,,-0.0138,1.0556,0.6914,0.5812,"clôture 329,96 € au-dessus du bord haut 329,11 € (+1,06 s)"
