DATE,TICKER,EXECUTION,CLOSE_AJUSTE,CLOSE_REEL,VAL_120,S_120,ECART_S,TAUX_120,TAUX_20,SOUS_BAS,AU_DESSUS,SEUIL_4_FRANCHI,ACHETABLE_SANS_VETO,ACHETABLE_AVEC_VETO,SIGNAL
2022-02-04,ENGI.PA,2022-02-07,9.5311,9.5311,9.2774,0.2384,1.0644,0.1436,0.0727,non,oui,non,non,non,au-dessus du bord haut
2022-02-04,AC.PA,2022-02-07,28.0811,28.0811,26.841,1.6904,0.7336,0.021,0.1435,non,non,non,non,non,dans la bande
2022-02-04,EN.PA,2022-02-07,24.0809,24.0809,23.1964,0.9445,0.9365,-0.1555,-0.2738,non,non,non,non,non,dans la bande
2022-02-04,TTE.PA,2022-02-07,39.4163,39.4163,38.0901,1.4402,0.9209,0.2537,0.2866,non,non,non,non,non,dans la bande
2022-02-04,SAF.PA,2022-02-07,101.2592,101.2592,104.0037,5.1546,-0.5325,-0.0038,-0.2857,non,non,non,non,non,dans la bande
2022-02-04,AIR.PA,2022-02-07,101.2114,101.2114,101.4025,4.3506,-0.0439,-0.0231,-0.3378,non,non,non,non,non,dans la bande
2022-02-04,PUB.PA,2022-02-07,51.7947,51.7947,48.9813,0.9912,2.8383,0.0662,0.0404,non,oui,non,non,non,au-dessus du bord haut
2022-02-04,SGO.PA,2022-02-07,51.2172,51.2172,53.1155,1.8649,-1.0179,0.017,-0.708,oui,non,non,oui,non,candidate à l'achat
2022-02-04,MC.PA,2022-02-07,643.6603,643.6603,666.9936,21.2388,-1.0986,0.1296,0.1799,oui,non,non,oui,oui,candidate à l'achat
2022-02-04,CAP.PA,2022-02-07,173.8989,173.8989,188.0437,8.4778,-1.6684,0.089,-0.1393,oui,non,non,oui,non,candidate à l'achat
2022-02-11,ENGI.PA,2022-02-14,9.8244,9.8244,9.437,0.2303,1.6821,0.1618,0.3795,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,AC.PA,2022-02-14,29.9366,29.9366,27.2497,1.7622,1.5247,0.0373,0.2413,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,EN.PA,2022-02-14,25.0048,25.0048,23.2415,0.9992,1.7647,-0.1458,-0.0193,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,TTE.PA,2022-02-14,40.4062,40.4062,38.7597,1.4776,1.1143,0.2581,0.2115,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,SAF.PA,2022-02-14,109.7101,109.7101,104.1316,5.1656,1.0799,-0.0054,0.0404,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,AIR.PA,2022-02-14,108.7161,108.7161,102.241,4.4823,1.4446,-0.0109,0.1009,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,PUB.PA,2022-02-14,52.3293,52.3293,49.5737,1.1696,2.356,0.0752,0.4626,non,oui,non,non,non,au-dessus du bord haut
2022-02-11,SGO.PA,2022-02-14,53.9174,53.9174,53.3071,1.8254,0.3343,0.0247,-0.2898,non,non,non,non,non,dans la bande
2022-02-11,MC.PA,2022-02-14,624.4262,624.4262,666.3833,21.8276,-1.9222,0.1188,0.2264,oui,non,non,oui,oui,candidate à l'achat
2022-02-11,CAP.PA,2022-02-14,177.4552,177.4552,187.2793,8.7307,-1.1252,0.0793,-0.1273,oui,non,non,oui,non,candidate à l'achat
2022-02-18,ENGI.PA,2022-02-21,9.7852,9.7852,9.5704,0.2163,0.9931,0.1745,0.4894,non,non,non,non,non,dans la bande
2022-02-18,AC.PA,2022-02-21,29.1997,29.1997,27.6755,1.8241,0.8356,0.0537,0.4019,non,non,non,non,non,dans la bande
2022-02-18,EN.PA,2022-02-21,25.1741,25.1741,23.3469,1.0571,1.7286,-0.1323,0.2918,non,oui,non,non,non,au-dessus du bord haut
2022-02-18,TTE.PA,2022-02-21,39.1766,39.1766,39.2029,1.4743,-0.0178,0.2528,0.1644,non,non,non,non,non,dans la bande
2022-02-18,SAF.PA,2022-02-21,108.2031,108.2031,104.5942,5.206,0.6932,-0.0029,0.4985,non,non,non,non,non,dans la bande
2022-02-18,AIR.PA,2022-02-21,105.505,105.505,103.2229,4.5225,0.5046,0.0047,0.3652,non,non,non,non,non,dans la bande
2022-02-18,PUB.PA,2022-02-21,50.693,50.693,50.0042,1.2108,0.5688,0.0813,0.595,non,non,non,non,non,dans la bande
2022-02-18,SGO.PA,2022-02-21,53.528,53.528,53.5002,1.8002,0.0154,0.0306,0.3749,non,non,non,non,non,dans la bande
2022-02-18,MC.PA,2022-02-21,625.6113,625.6113,662.6746,23.3685,-1.586,0.1032,-0.0327,oui,non,non,oui,non,candidate à l'achat
2022-02-18,CAP.PA,2022-02-21,167.4165,167.4165,184.9777,9.4985,-1.8488,0.0592,-0.1675,oui,non,oui,oui,non,candidate à l'achat
2022-02-25,ENGI.PA,2022-02-28,9.742,9.742,9.6716,0.2102,0.3347,0.1802,0.1745,non,non,non,non,non,dans la bande
2022-02-25,AC.PA,2022-02-28,27.8236,27.8236,27.7566,1.8264,0.0367,0.051,-0.0612,non,non,non,non,non,dans la bande
2022-02-25,EN.PA,2022-02-28,24.5274,24.5274,23.4158,1.0728,1.0362,-0.119,0.0957,non,oui,non,non,non,au-dessus du bord haut
2022-02-25,TTE.PA,2022-02-28,37.3284,37.3284,39.2773,1.4786,-1.3181,0.233,-0.2048,oui,non,non,oui,non,candidate à l'achat
2022-02-25,SAF.PA,2022-02-28,109.2523,109.2523,104.3811,5.0624,0.9622,-0.0115,0.2515,non,non,non,non,non,dans la bande
2022-02-25,AIR.PA,2022-02-28,106.3491,106.3491,103.5388,4.5067,0.6236,0.0109,0.0301,non,non,non,non,non,dans la bande
2022-02-25,PUB.PA,2022-02-28,48.6193,48.6193,50.0461,1.2425,-1.1483,0.0775,-0.0858,oui,non,non,oui,non,candidate à l'achat
2022-02-25,SGO.PA,2022-02-28,50.1441,50.1441,53.2292,1.9077,-1.6172,0.0248,-0.1436,oui,non,non,oui,non,candidate à l'achat
2022-02-25,MC.PA,2022-02-28,607.6533,607.6533,656.6339,26.1965,-1.8697,0.0858,-0.5638,oui,non,non,oui,non,candidate à l'achat
2022-02-25,CAP.PA,2022-02-28,170.2975,170.2975,182.4109,10.141,-1.1945,0.0371,-0.513,oui,non,oui,oui,non,candidate à l'achat
2022-03-04,ENGI.PA,2022-03-07,7.2524,7.2524,9.5235,0.3927,-5.7836,0.15,-0.9867,oui,non,non,oui,non,candidate à l'achat
2022-03-04,AC.PA,2022-03-07,23.1804,23.1804,27.3579,1.8876,-2.2132,0.0258,-0.9543,oui,non,non,oui,non,candidate à l'achat
2022-03-04,EN.PA,2022-03-07,23.1648,23.1648,23.4465,1.0691,-0.2635,-0.1074,-0.2224,non,non,non,non,non,dans la bande
2022-03-04,TTE.PA,2022-03-07,34.4129,34.4129,38.9036,1.6548,-2.7138,0.1995,-0.7838,oui,non,oui,oui,non,candidate à l'achat
2022-03-04,SAF.PA,2022-03-07,92.522,92.522,103.1865,5.0378,-2.1169,-0.0311,-0.3759,oui,non,non,oui,non,candidate à l'achat
2022-03-04,AIR.PA,2022-03-07,89.0829,89.0829,102.7691,4.7714,-2.8684,0.0029,-0.6121,oui,non,non,oui,non,candidate à l'achat
2022-03-04,PUB.PA,2022-03-07,40.9076,40.9076,49.3855,1.686,-5.0284,0.0554,-0.9797,oui,non,oui,oui,non,candidate à l'achat
2022-03-04,SGO.PA,2022-03-07,43.4628,43.4628,52.2768,2.3351,-3.7746,0.003,-0.8618,oui,non,oui,oui,non,candidate à l'achat
2022-03-04,MC.PA,2022-03-07,526.7057,526.7057,643.5037,31.1607,-3.7483,0.0516,-0.8138,oui,non,non,oui,non,candidate à l'achat
2022-03-04,CAP.PA,2022-03-07,154.1816,154.1816,179.529,10.7597,-2.3558,0.0133,-0.498,oui,non,oui,oui,non,candidate à l'achat
2022-03-11,ENGI.PA,2022-03-14,7.4808,7.4808,9.2196,0.5831,-2.9821,0.0969,-1.9081,oui,non,non,oui,non,candidate à l'achat
2022-03-11,AC.PA,2022-03-14,24.4855,24.4855,26.6506,2.0762,-1.0428,-0.0101,-1.662,oui,non,non,oui,non,candidate à l'achat
2022-03-11,EN.PA,2022-03-14,24.3812,24.3812,23.462,1.0561,0.8704,-0.0964,-0.3032,non,non,non,non,non,dans la bande
2022-03-11,TTE.PA,2022-03-14,35.2559,35.2559,38.5235,1.7698,-1.8464,0.1684,-0.7793,oui,non,oui,oui,non,candidate à l'achat
2022-03-11,SAF.PA,2022-03-14,99.3324,99.3324,101.632,5.26,-0.4372,-0.0498,-0.8574,non,non,non,non,non,dans la bande
2022-03-11,AIR.PA,2022-03-14,95.0096,95.0096,101.1006,5.3204,-1.1449,-0.0146,-1.0612,oui,non,non,oui,non,candidate à l'achat
2022-03-11,PUB.PA,2022-03-14,44.8282,44.8282,48.3871,2.1611,-1.6468,0.0255,-1.2582,oui,non,oui,oui,non,candidate à l'achat
2022-03-11,SGO.PA,2022-03-14,47.34,47.34,51.2148,2.6996,-1.4353,-0.0222,-1.0952,oui,non,oui,oui,non,candidate à l'achat
2022-03-11,MC.PA,2022-03-14,542.2936,542.2936,624.3856,37.4017,-2.1949,0.0058,-1.054,oui,non,non,oui,non,candidate à l'achat
2022-03-11,CAP.PA,2022-03-14,157.5579,157.5579,175.5856,11.6247,-1.5508,-0.0171,-0.4683,oui,non,oui,oui,non,candidate à l'achat
2022-03-18,ENGI.PA,2022-03-21,8.158,8.158,9.0233,0.6238,-1.3873,0.0581,-1.396,oui,non,non,oui,non,candidate à l'achat
2022-03-18,AC.PA,2022-03-21,25.3733,25.3733,26.4431,2.0954,-0.5105,-0.0145,-0.9338,non,non,non,non,non,dans la bande
2022-03-18,EN.PA,2022-03-21,25.1895,25.1895,23.7755,1.056,1.339,-0.0686,0.1773,non,oui,non,non,non,au-dessus du bord haut
2022-03-18,TTE.PA,2022-03-21,35.1901,35.1901,38.264,1.8781,-1.6367,0.1474,-0.4238,oui,non,oui,oui,non,candidate à l'achat
2022-03-18,SAF.PA,2022-03-21,101.6216,101.6216,101.2024,5.2485,0.0799,-0.0533,-0.4118,non,non,non,non,non,dans la bande
2022-03-18,AIR.PA,2022-03-21,97.3766,97.3766,100.6611,5.3323,-0.616,-0.0154,-0.5244,non,non,non,non,non,dans la bande
2022-03-18,PUB.PA,2022-03-21,46.8371,46.8371,48.0429,2.2175,-0.5437,0.0144,-0.4953,non,non,oui,non,non,dans la bande
2022-03-18,SGO.PA,2022-03-21,49.9969,49.9969,50.7225,2.6931,-0.2694,-0.036,-0.2048,non,non,non,non,non,dans la bande
2022-03-18,MC.PA,2022-03-21,582.8586,582.8586,610.1841,37.2921,-0.7327,-0.0319,-0.5363,non,non,non,non,non,dans la bande
2022-03-18,CAP.PA,2022-03-21,175.6995,175.6995,172.9024,11.2246,0.2492,-0.0439,-0.0135,non,non,non,non,non,dans la bande
2022-03-25,ENGI.PA,2022-03-28,7.9728,7.9728,8.8528,0.6355,-1.3849,0.0237,0.0172,oui,non,non,oui,oui,candidate à l'achat
2022-03-25,AC.PA,2022-03-28,25.1425,25.1425,26.3027,2.1012,-0.5522,-0.0174,0.1417,non,non,non,non,non,dans la bande
2022-03-25,EN.PA,2022-03-28,25.0971,25.0971,24.0377,1.0427,1.016,-0.0455,0.3797,non,oui,non,non,non,au-dessus du bord haut
2022-03-25,TTE.PA,2022-03-28,37.3487,37.3487,38.2337,1.9194,-0.461,0.138,0.1844,non,non,non,non,non,dans la bande
2022-03-25,SAF.PA,2022-03-28,99.6376,99.6376,100.5867,5.2314,-0.1814,-0.0586,0.0391,non,non,non,non,non,dans la bande
2022-03-25,AIR.PA,2022-03-28,98.661,98.661,100.3904,5.3361,-0.3241,-0.0157,0.1737,non,non,non,non,non,dans la bande
2022-03-25,PUB.PA,2022-03-28,45.7841,45.7841,47.6826,2.2455,-0.8455,0.0022,0.2693,non,non,oui,non,non,dans la bande
2022-03-25,SGO.PA,2022-03-28,47.4785,47.4785,50.0593,2.6193,-0.9853,-0.056,0.4481,non,non,oui,non,non,dans la bande
2022-03-25,MC.PA,2022-03-28,570.6435,570.6435,598.0871,34.976,-0.7846,-0.065,0.1753,non,non,non,non,non,dans la bande
2022-03-25,CAP.PA,2022-03-28,173.0436,173.0436,170.554,9.9992,0.249,-0.0713,0.4594,non,non,non,non,non,dans la bande
2022-04-01,ENGI.PA,2022-04-04,8.0593,8.0593,8.6714,0.625,-0.9792,-0.0133,0.6472,non,non,non,non,non,dans la bande
2022-04-01,AC.PA,2022-04-04,25.7373,25.7373,26.3102,2.0926,-0.2738,-0.0121,0.7969,non,non,non,non,non,dans la bande
2022-04-01,EN.PA,2022-04-04,24.412,24.412,24.1447,1.0249,0.2608,-0.0335,0.1829,non,non,non,non,non,dans la bande
2022-04-01,TTE.PA,2022-04-04,36.6857,36.6857,38.2465,1.9469,-0.8017,0.1321,0.2591,non,non,non,non,non,dans la bande
2022-04-01,SAF.PA,2022-04-04,102.0413,102.0413,100.6854,5.2437,0.2586,-0.0526,0.4031,non,non,non,non,non,dans la bande
2022-04-01,AIR.PA,2022-04-04,101.8536,101.8536,100.6886,5.3327,0.2185,-0.009,0.7179,non,non,non,non,non,dans la bande
2022-04-01,PUB.PA,2022-04-04,44.6176,44.6176,47.2889,2.2678,-1.1779,-0.0102,0.4266,oui,non,oui,oui,oui,candidate à l'achat
2022-04-01,SGO.PA,2022-04-04,46.7602,46.7602,49.5026,2.6393,-1.0391,-0.0683,0.2994,oui,non,oui,oui,oui,candidate à l'achat
2022-04-01,MC.PA,2022-04-04,592.1566,592.1566,591.002,32.6737,0.0353,-0.0847,0.7455,non,non,non,non,non,dans la bande
2022-04-01,CAP.PA,2022-04-04,179.9311,179.9311,169.5348,8.9503,1.1615,-0.087,0.9034,non,oui,non,non,non,au-dessus du bord haut
2022-04-08,ENGI.PA,2022-04-11,7.8485,7.8485,8.4821,0.6151,-1.0302,-0.0487,-0.0251,oui,non,non,oui,non,candidate à l'achat
2022-04-08,AC.PA,2022-04-11,24.2547,24.2547,26.0644,2.1186,-0.8542,-0.0213,0.0116,non,non,non,non,non,dans la bande
2022-04-08,EN.PA,2022-04-11,23.7114,23.7114,24.1378,0.9936,-0.4292,-0.0264,-0.4314,non,non,non,non,non,dans la bande
2022-04-08,TTE.PA,2022-04-11,35.8265,35.8265,38.1893,1.9907,-1.1869,0.125,0.1081,oui,non,oui,oui,oui,candidate à l'achat
2022-04-08,SAF.PA,2022-04-11,97.0051,97.0051,99.8802,5.2653,-0.5461,-0.0605,-0.1291,non,non,non,non,non,dans la bande
2022-04-08,AIR.PA,2022-04-11,94.8628,94.8628,100.0009,5.4181,-0.9483,-0.0161,0.0253,non,non,non,non,non,dans la bande
2022-04-08,PUB.PA,2022-04-11,44.65,44.65,46.7601,2.3203,-0.9094,-0.0249,-0.2183,non,non,oui,non,non,dans la bande
2022-04-08,SGO.PA,2022-04-11,44.4494,44.4494,48.4747,2.7824,-1.4467,-0.0918,-0.6181,oui,non,oui,oui,non,candidate à l'achat
2022-04-08,MC.PA,2022-04-11,575.8394,575.8394,582.8071,30.1273,-0.2313,-0.1059,0.2962,non,non,non,non,non,dans la bande
2022-04-08,CAP.PA,2022-04-11,170.7927,170.7927,168.2152,8.0788,0.319,-0.1024,0.3589,non,non,non,non,non,dans la bande
2022-04-14,ENGI.PA,2022-04-19,7.8755,7.8755,8.3311,0.6082,-0.7491,-0.0748,-0.2618,non,non,non,non,non,dans la bande
2022-04-14,AC.PA,2022-04-19,25.7994,25.7994,25.909,2.1293,-0.0515,-0.0268,-0.1975,non,non,non,non,non,dans la bande
2022-04-14,EN.PA,2022-04-19,23.9809,23.9809,24.1973,0.9398,-0.2303,-0.0163,-0.4006,non,non,non,non,non,dans la bande
2022-04-14,TTE.PA,2022-04-19,36.6347,36.6347,38.1713,2.0109,-0.7641,0.1185,0.0596,non,non,non,non,non,dans la bande
2022-04-14,SAF.PA,2022-04-19,99.0844,99.0844,99.2998,5.26,-0.0409,-0.0654,-0.2016,non,non,non,non,non,dans la bande
2022-04-14,AIR.PA,2022-04-19,97.3582,97.3582,99.3849,5.4471,-0.3721,-0.0238,-0.1919,non,non,non,non,non,dans la bande
2022-04-14,PUB.PA,2022-04-19,45.055,45.055,46.2548,2.3098,-0.5194,-0.041,-0.3173,non,non,oui,non,non,dans la bande
2022-04-14,SGO.PA,2022-04-19,44.9168,44.9168,47.7214,2.8156,-0.9961,-0.1091,-0.6995,non,non,oui,non,non,dans la bande
2022-04-14,MC.PA,2022-04-19,583.4056,583.4056,575.5289,28.0198,0.2811,-0.1232,-0.0243,non,non,non,non,non,dans la bande
2022-04-14,CAP.PA,2022-04-19,172.0982,172.0982,166.6618,7.2853,0.7462,-0.1166,-0.0971,non,non,non,non,non,dans la bande
2022-04-22,ENGI.PA,2022-04-25,8.162,8.162,8.228,0.5929,-0.1113,-0.093,-0.0327,non,non,non,non,non,dans la bande
2022-04-22,AC.PA,2022-04-25,26.7938,26.7938,26.0834,2.1367,0.3325,-0.0148,0.2096,non,non,non,non,non,dans la bande
2022-04-22,EN.PA,2022-04-25,24.7122,24.7122,24.4086,0.8109,0.3745,0.0039,-0.0915,non,non,non,non,non,dans la bande
2022-04-22,TTE.PA,2022-04-25,35.9913,35.9913,38.1325,2.0288,-1.0554,0.1104,0.004,oui,non,non,oui,oui,candidate à l'achat
2022-04-22,SAF.PA,2022-04-25,102.0222,102.0222,99.4736,5.2637,0.4842,-0.0581,-0.0724,non,non,non,non,non,dans la bande
2022-04-22,AIR.PA,2022-04-25,97.3954,97.3954,99.0679,5.4444,-0.3072,-0.0279,-0.1963,non,non,non,non,non,dans la bande
2022-04-22,PUB.PA,2022-04-25,46.9829,46.9829,46.1443,2.3011,0.3644,-0.0444,0.0709,non,non,oui,non,non,dans la bande
2022-04-22,SGO.PA,2022-04-25,48.0237,48.0237,47.2445,2.8104,0.2773,-0.1186,-0.2956,non,non,oui,non,non,dans la bande
2022-04-22,MC.PA,2022-04-25,583.0408,583.0408,570.7978,26.6383,0.4596,-0.1333,-0.0535,non,non,non,non,non,dans la bande
2022-04-22,CAP.PA,2022-04-25,172.9535,172.9535,166.2425,7.2763,0.9223,-0.1169,-0.2011,non,non,non,non,non,dans la bande
2022-04-29,ENGI.PA,2022-05-02,8.2303,8.2303,8.147,0.5797,0.1437,-0.106,0.2253,non,non,non,non,non,dans la bande
2022-04-29,AC.PA,2022-05-02,27.9923,27.9923,26.478,2.0614,0.7346,0.0155,0.6124,non,non,non,non,non,dans la bande
2022-04-29,EN.PA,2022-05-02,25.2896,25.2896,24.7289,0.6702,0.8365,0.0289,0.3615,non,non,non,non,non,dans la bande
2022-04-29,TTE.PA,2022-05-02,37.0545,37.0545,37.903,2.0877,-0.4064,0.0943,-0.0226,non,non,non,non,non,dans la bande
2022-04-29,SAF.PA,2022-05-02,98.4167,98.4167,99.9,4.942,-0.3001,-0.0415,0.0394,non,non,non,non,non,dans la bande
2022-04-29,AIR.PA,2022-05-02,98.2143,98.2143,98.6638,5.4307,-0.0828,-0.0287,-0.1259,non,non,non,non,non,dans la bande
2022-04-29,PUB.PA,2022-05-02,46.6427,46.6427,45.9373,2.2691,0.3109,-0.0511,0.3269,non,non,oui,non,non,dans la bande
2022-04-29,SGO.PA,2022-05-02,48.7507,48.7507,46.8984,2.792,0.6634,-0.1237,0.3149,non,non,non,non,non,dans la bande
2022-04-29,MC.PA,2022-05-02,571.2136,571.2136,563.7273,25.8039,0.2901,-0.145,-0.2222,non,non,non,non,non,dans la bande
2022-04-29,CAP.PA,2022-05-02,176.5549,176.5549,166.0717,7.4132,1.4141,-0.1118,-0.2581,non,oui,non,non,non,au-dessus du bord haut
2022-05-06,ENGI.PA,2022-05-09,8.0966,8.0966,8.0941,0.5776,0.0043,-0.1101,0.329,non,non,non,non,non,dans la bande
2022-05-06,AC.PA,2022-05-09,27.0779,27.0779,26.842,2.0244,0.1165,0.0397,0.7534,non,non,non,non,non,dans la bande
2022-05-06,EN.PA,2022-05-09,25.0646,25.0646,24.9316,0.6121,0.2172,0.0429,0.3954,non,non,non,non,non,dans la bande
2022-05-06,TTE.PA,2022-05-09,39.7027,39.7027,38.0762,2.0909,0.7778,0.0917,0.3526,non,non,non,non,non,dans la bande
2022-05-06,SAF.PA,2022-05-09,91.015,91.015,99.5397,4.6584,-1.83,-0.0336,-0.2023,oui,non,non,oui,non,candidate à l'achat
2022-05-06,AIR.PA,2022-05-09,100.0383,100.0383,98.7505,5.4147,0.2378,-0.023,0.1912,non,non,non,non,non,dans la bande
2022-05-06,PUB.PA,2022-05-09,44.1964,44.1964,45.7993,2.2751,-0.7045,-0.0523,0.2224,non,non,oui,non,non,dans la bande
2022-05-06,SGO.PA,2022-05-09,46.3274,46.3274,46.5322,2.7692,-0.074,-0.1294,0.4489,non,non,oui,non,non,dans la bande
2022-05-06,MC.PA,2022-05-09,518.1032,518.1032,554.8299,25.943,-1.4157,-0.1576,-0.3845,oui,non,non,oui,non,candidate à l'achat
2022-05-06,CAP.PA,2022-05-09,165.4358,165.4358,166.2462,7.452,-0.1088,-0.102,0.0006,non,non,non,non,non,dans la bande
2022-05-13,ENGI.PA,2022-05-16,8.258,8.258,8.023,0.5731,0.41,-0.1182,0.0345,non,non,non,non,non,dans la bande
2022-05-13,AC.PA,2022-05-16,27.2465,27.2465,26.8746,2.0253,0.1837,0.041,0.0008,non,non,non,non,non,dans la bande
2022-05-13,EN.PA,2022-05-16,25.4397,25.4397,25.0556,0.6114,0.6283,0.0477,0.1798,non,non,non,non,non,dans la bande
