TICKER,ACHAT,SORTIE,MOTIF,TRANCHES,QUANTITE,PRIX_PREMIERE_TRANCHE,PRIX_ACHAT,PRIX_SORTIE,SEUIL_REGLE_4,TAUX_20_ACHAT,SEANCES,PLUS_VALUE,REPLI_PREMIERE,REPLI_MOYEN,REPLI_LOW,CONTRIBUTION
PUB.PA,2023-09-25,2023-10-16,VENTE,1,9,63.0932,63.0932,67.3966,61.697,-0.0263,16,6.8208,-1.2965,-1.2965,-2.2548,35.6769
SAF.PA,2023-10-09,2023-11-20,VENTE,1,4,139.976,139.976,155.1546,137.2734,-0.2387,31,10.8437,0.2351,0.2351,0.0,57.6771
EN.PA,2023-10-23,2023-11-13,VENTE,1,21,26.8439,26.8439,29.3031,26.1807,-0.2701,16,9.161,0.5143,0.5143,-0.1607,48.5958
PUB.PA,2023-10-23,2023-11-27,VENTE,2,18,63.6089,63.1287,66.2763,62.5681,0.3611,26,4.9859,-2.4602,-1.7183,-3.7462,50.5681
TTE.PA,2023-11-13,2024-03-18,VENTE,2,22,53.5649,52.2708,54.5568,52.0685,-0.1128,88,4.3733,-5.8589,-3.5282,-6.348,44.1384
ENGI.PA,2024-01-22,2024-04-15,VENTE,2,99,12.4671,12.0997,12.6814,12.1558,-0.134,59,4.8076,-9.569,-6.823,-10.236,51.1745
EN.PA,2024-02-05,2024-03-18,VENTE,1,20,29.2168,29.2168,32.1506,28.4143,-0.2772,31,10.0413,-2.9238,-2.9238,-3.6621,55.5107
CAP.PA,2024-03-25,2024-09-02,VENTE,2,6,200.3131,196.8192,177.6598,196.1282,-0.1165,113,-9.7345,-17.2658,-15.7971,-19.5587,-121.0831
PUB.PA,2024-04-08,2024-09-23,VENTE,2,12,88.9582,88.3135,91.4926,87.0973,0.2849,120,3.5997,-7.9347,-7.2627,-10.1494,32.488
AC.PA,2024-04-15,2024-09-02,VENTE,2,33,36.9535,36.0823,35.9995,35.9788,-0.1032,100,-0.2294,-16.9552,-14.9501,-18.8478,-9.0388
AIR.PA,2024-04-15,2024-08-26,VENTE,2,8,154.9591,151.7182,135.2639,150.4335,0.0071,95,-10.8453,-20.5181,-18.8202,-21.5096,-134.2744
SGO.PA,2024-04-15,2024-05-06,VENTE,1,9,66.7779,66.7779,71.9715,64.3592,0.2952,15,7.7774,-2.7678,-2.7678,-3.9856,43.5035
SAF.PA,2024-05-06,2024-09-16,VENTE,2,6,199.9934,196.8292,198.0164,194.2997,0.0041,96,0.6032,-7.6871,-6.203,-9.6917,0.8561
EN.PA,2024-06-10,2024-09-02,VENTE,2,40,31.0733,29.4773,29.4623,30.6936,-0.0964,61,-0.0509,-12.5952,-7.8628,-12.6538,-6.8492
TTE.PA,2024-06-10,2024-09-23,VENTE,2,21,56.8438,55.4002,55.9839,55.3123,-0.2421,76,1.0536,-6.785,-4.3559,-8.7365,6.0777
SGO.PA,2024-06-17,2024-09-23,VENTE,1,8,69.193,69.193,78.6844,66.4883,-0.2707,71,13.7174,-1.4541,-1.4541,-3.6214,72.9107
ENGI.PA,2024-06-17,2024-08-19,VENTE,1,51,11.6154,11.6154,13.6711,11.0207,-0.6665,46,17.6981,-0.3396,-0.3396,-1.3585,101.581
MC.PA,2024-09-09,2024-09-30,VENTE,2,2,582.6185,572.1466,665.8225,564.8596,-0.0512,16,16.3727,-3.2843,-1.5141,-4.8856,181.0716
CAP.PA,2024-11-04,2025-01-27,VENTE,2,8,154.7894,150.3148,155.1209,148.4791,-0.554,58,3.1974,-7.7088,-4.9614,-8.5959,32.0312
TTE.PA,2024-11-04,2025-01-13,VENTE,2,23,52.5487,50.7572,51.2415,51.3389,-0.3784,48,0.9542,-10.8965,-7.7515,-12.4138,4.9395
ENGI.PA,2024-11-11,2025-01-20,VENTE,1,46,13.395,13.395,14.07,12.7582,-0.3193,48,5.0393,-3.0105,-3.0105,-4.8102,27.7489
EN.PA,2024-11-25,2025-01-06,VENTE,1,23,26.3768,26.3768,26.3677,25.4392,-0.1264,28,-0.0345,-4.5204,-4.5204,-5.2105,-3.4244
SAF.PA,2024-12-16,2025-01-27,VENTE,1,3,203.8836,203.8836,229.3079,198.3611,-0.2613,28,12.47,0.5276,0.5276,-0.3837,72.9435
SGO.PA,2024-12-23,2025-02-10,VENTE,1,7,80.6207,80.6207,88.7644,78.7872,0.0811,33,10.1013,-1.4599,-1.4599,-3.1081,53.9493
PUB.PA,2025-01-06,2025-02-10,VENTE,1,6,92.8459,92.8459,98.5078,90.2625,-0.0891,26,6.0982,-3.2028,-3.2028,-3.7977,30.9798
AC.PA,2025-02-24,2025-05-19,VENTE,2,29,43.4565,42.8258,44.6662,43.0374,-0.1217,58,4.2973,-21.4441,-20.2873,-24.7064,46.7271
